Data Quality for AI - Index of Web Links

I found **110 unique web-link entries**, including visible URLs, bare domains, and embedded hyperlink targets. The PowerPoint was not modified.

| Slide | Location | URL |
| 44 | Notes | https://pixabay.com//?utm_source=link-attribution&utm_medium=referral&utm_campaign=image&utm_content=152091 |
| 44 | Notes | https://pixabay.com/?utm_source=link-attribution&utm_medium=referral&utm_campaign=image&utm_content=152091 |
| 45 | Notes | https://weaviate.io/ebooks/advanced-rag-techniques |
| 46 | Notes | https://landing.ai/blog/tips-for-a-data-centric-ai-approach |
| 46 | Notes | https://www.youtube.com/watch?v=TU6u_T-s68Y |
| 47 | Notes | https://arxiv.org/abs/2501.18741 |
| 47 | Notes | https://search.worldcat.org/title/1162606643 |
| 48 | Notes | https://github.com/mostly-ai |
| 48 | Notes | https://mostly.ai/what-is-synthetic-data |
| 50 | Slide | https://www.linkedin.com/in/datamaven/ |
